sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
train_0001,reliable,marked_gaussian_evidence_assoc_quality_nis,405,3.9068683016236667,5.1235129485532545,0.584801610667442,1.7777777777777777,45.51111111111111,0.6469135802469136,5321600,5321600,13374720,14.178322666666666
train_0001,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,405,3.7697330919637837,4.946065498873661,0.7758371522523457,1.6,43.2,0.6172839506172839,5585344,5585344,13374720,13.84295625
train_0001,intermittent,marked_gaussian_evidence_assoc_quality_nis,405,4.297058559993291,5.959202773508073,3.6231632661140782,4.0,58.4,0.7950617283950617,5408128,3749216,13374720,11.547930083333334
train_0001,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,405,4.238564725828149,5.872947036154152,3.782856276310625,3.8222222222222224,57.06666666666667,0.7790123456790123,5414784,3751712,13374720,9.583019791666667
train_0002,reliable,marked_gaussian_evidence_assoc_quality_nis,157,1.9113148813931273,2.583227510203852,0.5910195245130236,5.503184713375796,13.299363057324841,0.2484076433121019,1565888,1565888,5184768,9.231777375
train_0002,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,157,1.9294402660700851,2.609221910578403,0.5947115385185243,5.961783439490445,13.299363057324841,0.25477707006369427,1483104,1483104,5184768,4.049580583333333
train_0002,intermittent,marked_gaussian_evidence_assoc_quality_nis,157,2.0942075076796547,2.8503982244018933,0.6867301808340944,5.503184713375796,16.96815286624204,0.2929936305732484,1260544,925792,5184768,2.441427125
train_0002,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,157,2.0944081806971053,2.8519545684383227,0.699660340165271,5.732484076433121,16.96815286624204,0.2961783439490446,1264704,923712,5184768,2.531021
train_0003,reliable,marked_gaussian_evidence_assoc_quality_nis,1244,1.5522735713547935,2.292307033785961,0.9539751087813962,6.771704180064309,9.434083601286174,0.21382636655948553,18301248,18301248,41081856,66.35065425
train_0003,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,1244,1.5223304444493584,2.2656115650148028,0.9707263939034079,6.771704180064309,9.260450160771704,0.21141479099678456,17460512,17460512,41081856,75.88243904166667
train_0003,intermittent,marked_gaussian_evidence_assoc_quality_nis,1244,1.9577377688030597,2.851334613866083,1.4234337605971379,12.212218649517684,9.636655948553054,0.2889871382636656,18928992,12820352,41081856,52.24711395833334
train_0003,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,1244,1.9115745636662773,2.7836868831471504,1.3710330828870196,12.241157556270096,9.0,0.2829581993569132,18305408,12313664,41081856,53.480868541666666
train_0004,reliable,marked_gaussian_evidence_assoc_quality_nis,133,3.5910802936387918,3.8966544428751226,1.2112396508743362,27.60902255639098,5.413533834586466,0.3383458646616541,693664,693664,4392192,4.683375541666667
train_0004,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,133,3.592222046207614,3.942878210532081,1.245302278651193,25.984962406015036,7.578947368421052,0.3308270676691729,671616,671616,4392192,2.5075509583333333
train_0004,intermittent,marked_gaussian_evidence_assoc_quality_nis,133,2.938763968204427,3.417152851668187,1.2153990099747725,23.278195488721803,4.87218045112782,0.3157894736842105,579680,468352,4392192,1.613621875
