sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
v2x_0000,reliable,marked_gaussian_evidence_assoc_quality_nis,104,9.740904935709999,17.648265488785857,0.13394818308298637,322.61538461538464,33.92307692307692,4.009615384615385,1136928,1136928,3434496,6.544469708333334
v2x_0000,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,104,9.766513077589225,17.690535733366655,0.14385932416834077,324.0,33.92307692307692,4.028846153846154,1146496,1146496,3434496,2.787528875
v2x_0000,intermittent,marked_gaussian_evidence_assoc_quality_nis,104,9.739305774485873,17.6462129574126,0.15794841345814614,322.61538461538464,33.92307692307692,4.009615384615385,1066208,858016,3434496,1.4109521666666667
v2x_0000,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,104,9.75113324072328,17.684230128272922,0.17106753915830414,323.65384615384613,34.61538461538461,4.014423076923077,1050816,842624,3434496,1.3249348333333333
v2x_0001,reliable,marked_gaussian_evidence_assoc_quality_nis,131,9.9873209850388,27.421463127952922,6.603758054843298,738.1374045801526,12.091603053435115,10.083969465648854,3153344,3153344,5030656,9.521851916666666
v2x_0001,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,131,10.002815269282834,27.462046182899346,6.738437076548313,739.7862595419847,12.091603053435115,10.106870229007633,3202848,3202848,5079808,9.320866083333334
v2x_0001,intermittent,marked_gaussian_evidence_assoc_quality_nis,131,9.741793423745936,26.752205391287944,7.60684574321997,700.2137404580153,12.091603053435115,9.557251908396946,2417024,1764928,4326144,4.196894625
v2x_0001,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,131,9.751516563049725,26.80357032234922,8.155579940595493,701.0381679389313,13.19083969465649,9.553435114503817,2526432,1844384,4391680,4.7150815
v2x_0002,reliable,marked_gaussian_evidence_assoc_quality_nis,140,9.173966666591946,23.97454174984429,117.90809199046726,208.28571428571428,261.25714285714287,2.5785714285714287,3735488,3735488,5803008,17.383584416666668
v2x_0002,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,140,9.182443724812606,24.07452407509882,103.67724845525446,203.14285714285714,282.85714285714283,3.092857142857143,3366496,3366496,5508096,11.27190125
v2x_0002,intermittent,marked_gaussian_evidence_assoc_quality_nis,140,9.023465441431425,23.492064698127034,102.58270932584904,210.34285714285716,249.68571428571428,2.3035714285714284,3635648,2493312,5934080,9.453431375
v2x_0002,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,140,8.947662356773371,23.09333801238815,94.07806341885778,212.65714285714284,236.31428571428572,2.2142857142857144,3648544,2554464,5868544,12.410735291666667
v2x_0003,reliable,marked_gaussian_evidence_assoc_quality_nis,128,7.771028817956946,17.503629115057407,1.504149863595957,339.1875,31.5,4.6484375,3844544,3844544,5963776,19.37204291666667
v2x_0003,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,128,7.688492554339857,17.58037706676848,2.821905192294742,344.8125,29.8125,4.734375,3728064,3728064,5570560,11.387649458333334
v2x_0003,intermittent,marked_gaussian_evidence_assoc_quality_nis,128,7.886619566433642,17.497680602779532,3.6951141573848103,323.4375,36.84375,4.57421875,3988064,2810208,6373376,11.213050458333333
v2x_0003,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,128,7.84675689712303,17.431300414253,3.752309502153148,326.8125,34.875,4.609375,3906112,2749888,6160384,8.910676333333333
v2x_0004,reliable,marked_gaussian_evidence_assoc_quality_nis,116,5.399006743259987,4.782882490200941,0.8046140370968606,48.41379310344828,0.0,0.6724137931034483,259520,259520,3830784,4.1533
v2x_0004,reliable,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,116,5.43396360817438,4.818001616898063,0.818432743514169,49.03448275862069,0.0,0.6810344827586207,266592,266592,3830784,2.863859166666667
v2x_0004,intermittent,marked_gaussian_evidence_assoc_quality_nis,116,5.408607824781972,4.789067133154587,2.4788578778733963,45.62068965517241,0.0,0.6336206896551724,222912,184224,3830784,2.000864583333333
v2x_0004,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_quality_nis,116,5.40868713350319,4.7892316400658155,2.481415726232164,45.62068965517241,0.0,0.6336206896551724,215840,175904,3830784,1.2990692083333333
