sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0000,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,1183776,1183776,4854528,3.595318
0000,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,147,2.4132518976183985,2.9868809486308465,1.2732659723583635,15.183673469387756,6.122448979591836,0.2687074829931973,1198752,890336,4854528,2.457347875
0001,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,114,3.4937329990269044,3.3809081766426052,0.7164025480611534,13.894736842105264,16.42105263157895,0.38596491228070173,870496,870496,3764736,3.8994815833333334
0001,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,114,3.932739834578163,3.7748774877859503,0.7042531846489382,13.894736842105264,21.473684210526315,0.45614035087719296,866336,635584,3764736,1.7860130833333334
0002,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,541696,541696,4755456,4.166697666666667
0002,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,603680,477152,4755456,2.477079041666667
0003,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,198,6.358034004059336,15.807078152167273,11.029074808288165,257.09090909090907,61.63636363636363,3.2702020202020203,11656928,11656928,15369728,27.704651291666668
0003,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,198,6.725751422114764,16.43102927795552,11.111461055239987,268.1818181818182,63.27272727272727,3.426767676767677,10299104,7162656,13665792,22.966337625
0004,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,180,5.004085581294239,20.649324113243402,59.174017121409875,333.6,51.2,3.922222222222222,12343008,12343008,15315968,65.238736
0004,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,12939968,9573696,15938560,46.61036529166667
0005,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,310,4.666907568423147,14.561609888192951,13.370998318531187,136.4516129032258,89.41935483870968,1.653225806451613,17889536,17889536,23295488,36.41035179166666
0005,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,310,4.982998498016807,15.340188929280705,17.711002445977932,162.3483870967742,87.6774193548387,1.8016129032258064,17536352,13461024,23426560,32.166900125
0006,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,304,5.692588415774531,11.34292446784926,4.314814059458363,67.5,91.89473684210526,1.2730263157894737,8450112,8450112,13217792,16.393865166666668
0006,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,304,5.688173987163758,11.256156418466148,2.7008828780594025,65.36842105263158,94.5,1.361842105263158,9053312,7134240,13922304,15.00491
0007,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,221,3.0693157161670883,9.486767388297379,13.315810002500386,79.81900452488688,39.74660633484163,1.0633484162895928,12581088,12581088,16915712,21.849291625
0007,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,221,3.923205361687425,12.569843684776316,33.12578854310881,146.76923076923077,62.55203619909502,1.4864253393665159,12593984,7633056,16162048,17.191663125
0008,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,375,0.8254245147932215,2.7079278802179965,2.8182424664455286,5.952,8.064,0.184,12742784,12742784,20100864,25.916973375
0008,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,375,0.9857109235185262,3.1270900835811903,2.8980294572939145,9.984,8.352,0.244,15240032,10713472,23394048,25.948167708333333
