sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
train_0001,reliable,marked_gaussian_evidence_assoc_split,405,3.9068683016236667,5.1235129485532545,0.584801610667442,1.7777777777777777,45.51111111111111,0.6469135802469136,5321600,5321600,13374720,9.171508666666666
train_0001,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,405,3.7697330919637837,4.946065498873661,0.7758371522523457,1.6,43.2,0.6172839506172839,5585344,5585344,13374720,7.789344041666666
train_0001,intermittent,marked_gaussian_evidence_assoc_split,405,4.297058559993291,5.959202773508073,3.6231632661140782,4.0,58.4,0.7950617283950617,5408128,3749216,13374720,5.919253708333334
train_0001,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,405,4.238564725828149,5.872947036154152,3.782856276310625,3.8222222222222224,57.06666666666667,0.7790123456790123,5414784,3751712,13374720,5.6649260833333335
train_0002,reliable,marked_gaussian_evidence_assoc_split,157,1.9113148813931273,2.583227510203852,0.5910195245130236,5.503184713375796,13.299363057324841,0.2484076433121019,1565888,1565888,5184768,4.8491405
train_0002,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,157,1.9294402660700851,2.609221910578403,0.5947115385185243,5.961783439490445,13.299363057324841,0.25477707006369427,1483104,1483104,5184768,2.604875875
train_0002,intermittent,marked_gaussian_evidence_assoc_split,157,2.0942075076796547,2.8503982244018933,0.6867301808340944,5.503184713375796,16.96815286624204,0.2929936305732484,1260544,925792,5184768,1.591332875
train_0002,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,157,2.0944081806971053,2.8519545684383227,0.699660340165271,5.732484076433121,16.96815286624204,0.2961783439490446,1264704,923712,5184768,1.5821295
train_0003,reliable,marked_gaussian_evidence_assoc_split,1244,1.5522735713547935,2.292307033785961,0.9539751087813962,6.771704180064309,9.434083601286174,0.21382636655948553,18301248,18301248,41081856,43.42785166666667
train_0003,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,1244,1.5223304444493584,2.2656115650148028,0.9707263939034079,6.771704180064309,9.260450160771704,0.21141479099678456,17460512,17460512,41081856,38.136551
train_0003,intermittent,marked_gaussian_evidence_assoc_split,1244,1.9577377688030597,2.851334613866083,1.4234337605971379,12.212218649517684,9.636655948553054,0.2889871382636656,18928992,12820352,41081856,34.445947
train_0003,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,1244,1.9115745636662773,2.7836868831471504,1.3710330828870196,12.241157556270096,9.0,0.2829581993569132,18305408,12313664,41081856,35.799951916666664
train_0004,reliable,marked_gaussian_evidence_assoc_split,133,3.260544842142025,3.486634295915472,1.107786955036365,23.81954887218045,4.87218045112782,0.2932330827067669,695328,695328,4392192,3.1242093333333334
train_0004,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,133,3.438939183732029,3.739079291005821,1.0876619131517395,23.81954887218045,7.578947368421052,0.3157894736842105,672864,672864,4392192,1.8015444166666668
train_0004,intermittent,marked_gaussian_evidence_assoc_split,133,2.7212482936107323,3.144300920637215,1.1584185521020356,20.30075187969925,4.87218045112782,0.2819548872180451,587168,475424,4392192,1.2015657916666667
train_0004,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,133,2.8158999019695847,3.3334048957517437,1.1254843434270612,21.383458646616543,6.496240601503759,0.2744360902255639,585088,472928,4392192,0.9815497916666667
train_0006,reliable,marked_gaussian_evidence_assoc_split,122,0.5970297001884015,0.9840268786446923,0.5659816553861161,2.9508196721311477,0.0,0.040983606557377046,704608,704608,4028928,2.950169625
train_0006,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,122,0.5953747016764852,0.9807233833014833,0.5584397834753181,2.9508196721311477,0.0,0.040983606557377046,704608,704608,4028928,1.669046375
train_0006,intermittent,marked_gaussian_evidence_assoc_split,122,0.6017145372465977,0.9923371881114819,0.5866202390697767,2.9508196721311477,0.0,0.040983606557377046,703360,550528,4028928,1.0587673333333334
train_0006,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,122,0.600254129288863,0.9893963796904124,0.5798799035329667,2.9508196721311477,0.0,0.040983606557377046,703360,550528,4028928,1.101552875
train_0007,reliable,marked_gaussian_evidence_assoc_split,148,2.7584678364361572,2.4780490698029474,2.9881816364179783,8.756756756756756,6.324324324324325,0.19594594594594594,996224,996224,4887552,4.08733575
train_0007,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,148,2.7740044314666785,2.478554247912452,2.983284468839419,9.243243243243244,5.837837837837838,0.18243243243243243,932992,932992,4887552,2.6530269166666667
train_0007,intermittent,marked_gaussian_evidence_assoc_split,148,4.476788325878475,4.219689665426573,0.9237564285355725,15.08108108108108,22.37837837837838,0.41216216216216217,1201728,786176,4887552,1.6965315833333334
train_0007,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,148,4.472384220118768,4.207857805516047,0.9237569079557304,15.08108108108108,22.135135135135137,0.40878378378378377,1203808,786176,4887552,1.7277055416666667
train_0008,reliable,marked_gaussian_evidence_assoc_split,410,5.103849279969993,13.86355781440552,18.325504786205528,73.7560975609756,130.30243902439025,1.5560975609756098,33479296,33479296,38853120,101.71243845833334
train_0008,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,410,5.332452606705094,14.407460978343515,19.690684587281936,78.67317073170732,138.55609756097562,1.7390243902439024,34320032,34320032,39574016,113.05208795833333
train_0008,intermittent,marked_gaussian_evidence_assoc_split,410,5.800211653580162,15.589738099270667,18.961859627158674,84.55609756097562,164.45853658536586,2.148780487804878,38876896,25920128,44997120,127.53312616666666
train_0008,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,410,5.805049617139645,15.587953355292308,18.796891211023084,85.9609756097561,164.37073170731708,2.201219512195122,38730464,25835264,45193728,124.37758920833333
train_0009,reliable,marked_gaussian_evidence_assoc_split,315,6.644313575247371,19.636652150230052,29.46950358891423,349.48571428571427,35.65714285714286,4.358730158730158,19034272,19034272,24115968,43.38919808333333
train_0009,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,315,6.6861594745484565,19.712937318760925,32.9728678069685,352.0,33.371428571428574,4.425396825396826,18333728,18333728,23821056,47.266980875
train_0009,intermittent,marked_gaussian_evidence_assoc_split,315,6.982924051427887,20.618999123639057,29.669671896014968,382.9714285714286,44.114285714285714,4.712698412698413,18143616,13671168,23722752,37.930435958333334
train_0009,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,315,7.001623188040788,20.618352503923116,32.7847738144447,383.42857142857144,39.542857142857144,4.776190476190476,18067488,13621248,23558912,37.87202283333333
train_0011,reliable,marked_gaussian_evidence_assoc_split,107,2.8569845664321893,6.652707260915998,5.979493216458244,52.48598130841121,12.785046728971963,0.719626168224299,2514496,2514496,4107008,7.755348375
train_0011,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,107,2.98898763692925,6.929047298158585,6.08219946348068,53.83177570093458,13.457943925233645,0.7476635514018691,2546944,2546944,4107008,6.023260625
train_0011,intermittent,marked_gaussian_evidence_assoc_split,107,3.3701168597998334,7.690700997925357,6.315877757498307,63.25233644859813,16.485981308411215,0.9112149532710281,2642208,1974016,4139776,4.199518333333334
train_0011,intermittent,marked_gaussian_evidence_guarded_scalar_assoc_split,107,3.500481241661205,7.977605910702706,6.680886707735777,68.97196261682242,15.476635514018692,0.9766355140186916,2687968,2003136,4188928,4.129107625
train_0012,reliable,marked_gaussian_evidence_assoc_split,124,5.466903655214297,14.73680504766568,14.972092834770834,152.70967741935485,60.96774193548387,1.5806451612903225,6292864,6292864,8223744,16.518541666666668
train_0012,reliable,marked_gaussian_evidence_guarded_scalar_assoc_split,124,5.440084854794329,14.594989392003146,15.059164895448083,149.80645161290323,60.96774193548387,1.5564516129032258,6546624,6546624,8600576,12.722287666666666
train_0012,intermittent,marked_gaussian_evidence_assoc_split,124,5.348671781855154,14.66513196973398,17.88503135062331,146.03225806451613,64.74193548387096,1.5080645161290323,5444640,4035136,7519232,9.322267333333333
