dataset,cohort,sequence,scene,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,wire_bytes,raw_payload_bytes,delivered_raw_bytes,split_branches
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_lineage,147,2.5395482514421954,3.1271579668644116,1.2141880055959131,16.653061224489797,6.122448979591836,0.2891156462585034,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_er,147,2.6175947589940143,3.307663128448342,1.3339431341298043,14.204081632653061,10.53061224489796,0.2755102040816326,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_asymmetric,147,2.4132499879515246,2.986878221061812,1.2732600814521653,15.183673469387756,6.122448979591836,0.2687074829931973,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_guarded_scalar,147,2.4132518976183985,2.9868809486308465,1.2732659723583635,15.183673469387756,6.122448979591836,0.2687074829931973,4854528,1015776,754400,0
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_no_curvature,147,2.2984410097241676,2.848731911625065,1.2760808223640328,13.959183673469388,6.122448979591836,0.25170068027210885,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence_fixed_025,147,2.532670641536666,3.1650230524457665,1.234474451780692,14.938775510204081,8.571428571428571,0.272108843537415,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,4854528,1016128,754400,0
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_lineage,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_er,147,2.242465426652271,2.7810313707372782,0.2633034218581524,13.714285714285714,9.306122448979592,0.23809523809523808,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_asymmetric,147,1.979611037311224,2.4072117203215764,0.20249777447904754,14.693877551020408,4.408163265306122,0.22448979591836735,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_guarded_scalar,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,4854528,1003104,1003104,0
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_no_curvature,147,1.9973690403082813,2.3800081941575324,0.19031832966701753,13.714285714285714,4.8979591836734695,0.23129251700680273,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_fixed_025,147,2.1689412707612203,2.640040697651397,0.1629126955975226,14.693877551020408,6.857142857142857,0.24489795918367346,,,,
v2v,development,test_0000,testoutput_CAV_data_2022-03-15-09-54-40_0,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,4854528,1001696,1001696,0
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage,114,4.671126059490567,4.530136575509032,0.8845635720473002,19.57894736842105,23.36842105263158,0.543859649122807,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_er,114,5.202650085354024,4.925947904739759,0.8845522310610672,19.57894736842105,27.157894736842106,0.5964912280701754,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_asymmetric,114,4.4871998711539325,4.32972941346079,0.8846721525007876,18.94736842105263,21.473684210526315,0.5263157894736842,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar,114,4.487199868596875,4.329729410357748,0.8846721147567078,18.94736842105263,21.473684210526315,0.5263157894736842,3764736,726784,531584,0
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_no_curvature,114,4.491388169430222,4.352179450121221,0.8622860166126227,18.94736842105263,22.105263157894736,0.5350877192982456,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixed_025,114,4.986818121589384,4.762143375396295,0.8751624249634236,19.57894736842105,25.57894736842105,0.5745614035087719,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456,3764736,786976,573472,0
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage,114,4.266652951077348,4.3122586637801295,0.8709107637021682,21.473684210526315,20.210526315789473,0.543859649122807,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_er,114,5.284570949201942,4.994748901378376,0.8812895059693315,20.210526315789473,27.157894736842106,0.6228070175438597,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_asymmetric,114,4.048104151053303,3.9357250864807325,0.8950412149618395,18.94736842105263,16.42105263157895,0.45614035087719296,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar,114,4.048104147664298,3.9357250824380894,0.8950411671475578,18.94736842105263,16.42105263157895,0.45614035087719296,3764736,730304,730304,0
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_no_curvature,114,4.037052223160187,3.92203920439619,0.8615224688226395,18.94736842105263,16.42105263157895,0.45614035087719296,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixed_025,114,4.775347042106354,4.50045714446888,0.8667178783592937,20.842105263157894,19.57894736842105,0.5263157894736842,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,3764736,700032,700032,0
