panel,condition,term,value,sequence,frame,robot,arm,selected
a,reliable,localization,-0.0010397618142545283,,,,,
a,reliable,missed,0.051379726938191386,,,,,
a,reliable,false,-0.015966767239399434,,,,,
a,reliable,cardinality_gap,0.07850444209978233,,,,,
a,reliable,normalization,-0.00662891476687231,,,,,
a,intermittent,localization,-0.004647263620978489,,,,,
a,intermittent,missed,0.02540506624804678,,,,,
a,intermittent,false,-0.015559177177927283,,,,,
a,intermittent,cardinality_gap,0.028924320589463186,,,,,
a,intermittent,normalization,-0.009556152997374072,,,,,
b,reliable,existence_probability,,v2xt_0001,1,1,marked_lineage,False
b,reliable,existence_probability,,v2xt_0001,2,1,marked_lineage,False
b,reliable,existence_probability,0.010723883201276882,v2xt_0001,3,1,marked_lineage,False
b,reliable,existence_probability,0.012226323686394883,v2xt_0001,4,1,marked_lineage,False
b,reliable,existence_probability,0.010987571810385231,v2xt_0001,5,1,marked_lineage,False
b,reliable,existence_probability,0.009072435109343064,v2xt_0001,6,1,marked_lineage,False
b,reliable,existence_probability,0.008072409995017004,v2xt_0001,7,1,marked_lineage,False
b,reliable,existence_probability,0.008235233869171877,v2xt_0001,8,1,marked_lineage,False
b,reliable,existence_probability,0.007822315487083795,v2xt_0001,9,1,marked_lineage,False
b,reliable,existence_probability,0.008419114156488664,v2xt_0001,10,1,marked_lineage,False
b,reliable,existence_probability,0.007807922659846929,v2xt_0001,11,1,marked_lineage,False
b,reliable,existence_probability,0.00808517392631185,v2xt_0001,12,1,marked_lineage,False
b,reliable,existence_probability,0.007764104046376623,v2xt_0001,13,1,marked_lineage,False
b,reliable,existence_probability,0.019626318072761294,v2xt_0001,14,1,marked_lineage,False
b,reliable,existence_probability,0.041946492670685454,v2xt_0001,15,1,marked_lineage,False
b,reliable,existence_probability,0.08627855525241555,v2xt_0001,16,1,marked_lineage,False
b,reliable,existence_probability,0.17025682144493673,v2xt_0001,17,1,marked_lineage,False
b,reliable,existence_probability,0.31701611643165317,v2xt_0001,18,1,marked_lineage,False
b,reliable,existence_probability,0.5220908564019009,v2xt_0001,19,1,marked_lineage,False
b,reliable,existence_probability,0.7641256191933384,v2xt_0001,20,1,marked_lineage,True
b,reliable,existence_probability,0.9109122026816677,v2xt_0001,21,1,marked_lineage,True
b,reliable,existence_probability,0.9771607411048086,v2xt_0001,22,1,marked_lineage,True
b,reliable,existence_probability,0.9929489852647643,v2xt_0001,23,1,marked_lineage,True
