sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,1,1,marked_gaussian_evidence,0,0,0.0,0.0,0.0,0,0,False
v2xt_0001,reliable,5,1,2,marked_gaussian_evidence,0,0,0.0,0.0,0.0,0,0,False
v2xt_0001,reliable,5,2,1,marked_gaussian_evidence,1,1,0.010208584972325912,0.010208584972325912,1.0,1,9,False
v2xt_0001,reliable,5,2,2,marked_gaussian_evidence,1,1,0.010208584972325912,0.010208584972325912,1.0,1,9,False
v2xt_0001,reliable,5,3,1,marked_gaussian_evidence,1,1,0.00898572387081437,0.00898572387081437,1.0,1,19,False
v2xt_0001,reliable,5,3,2,marked_gaussian_evidence,1,1,0.00898572387081437,0.00898572387081437,1.0,1,19,False
v2xt_0001,reliable,5,4,1,marked_gaussian_evidence,2,2,0.024720204818748828,0.014597358996544053,1.936552186880653,2,25,False
v2xt_0001,reliable,5,4,2,marked_gaussian_evidence,2,2,0.024720204818748828,0.014597358996544053,1.936552186880653,2,25,False
v2xt_0001,reliable,5,5,1,marked_gaussian_evidence,3,3,0.018355534784338462,0.007752239019189754,2.8445730715842665,3,29,False
v2xt_0001,reliable,5,5,2,marked_gaussian_evidence,3,3,0.018355534784338462,0.007752239019189754,2.8445730715842665,3,29,False
v2xt_0001,reliable,5,6,1,marked_gaussian_evidence,4,4,0.03619602126247084,0.010949933142733972,3.9147610199272314,4,36,False
v2xt_0001,reliable,5,6,2,marked_gaussian_evidence,4,4,0.03619602126247084,0.010949933142733972,3.9147610199272314,4,36,False
v2xt_0001,reliable,5,7,1,marked_gaussian_evidence,7,7,0.05869712723354742,0.012612204144119796,6.2868000615155415,7,40,False
v2xt_0001,reliable,5,7,2,marked_gaussian_evidence,7,7,0.05869712723354742,0.012612204144119796,6.2868000615155415,7,40,False
v2xt_0001,reliable,5,8,1,marked_gaussian_evidence,13,13,0.098766009406989,0.011090888350095082,11.913800286259082,13,49,False
v2xt_0001,reliable,5,8,2,marked_gaussian_evidence,13,13,0.098766009406989,0.011090888350095082,11.913800286259082,13,49,False
v2xt_0001,reliable,5,9,1,marked_gaussian_evidence,15,15,0.104910494427327,0.00958882231896636,14.049435115045409,15,49,False
v2xt_0001,reliable,5,9,2,marked_gaussian_evidence,15,15,0.104910494427327,0.00958882231896636,14.049435115045409,15,49,False
v2xt_0001,reliable,5,10,1,marked_gaussian_evidence,22,22,0.17728751389606506,0.011428761570736348,21.179197307209755,22,55,False
v2xt_0001,reliable,5,10,2,marked_gaussian_evidence,22,22,0.17728751389606506,0.011428761570736348,21.179197307209755,22,55,False
v2xt_0001,reliable,5,11,1,marked_gaussian_evidence,25,25,0.15790030495730462,0.008772446877578397,23.44952118717136,25,49,False
v2xt_0001,reliable,5,11,2,marked_gaussian_evidence,25,25,0.15790030495730462,0.008772446877578397,23.44952118717136,25,49,False
v2xt_0001,reliable,5,12,1,marked_gaussian_evidence,25,25,0.1931189775319309,0.010275526029052016,24.09054266009006,23,47,False
v2xt_0001,reliable,5,12,2,marked_gaussian_evidence,25,25,0.1931189775319309,0.010275526029052016,24.09054266009006,23,47,False
v2xt_0001,reliable,5,13,1,marked_gaussian_evidence,23,23,0.16140329512275983,0.00926607462553568,21.78856342884112,18,47,False
v2xt_0001,reliable,5,13,2,marked_gaussian_evidence,23,23,0.16140329512275983,0.00926607462553568,21.78856342884112,18,47,False
v2xt_0001,reliable,5,14,1,marked_gaussian_evidence,26,26,0.20511452436055388,0.020472751625394362,22.856985091336156,18,46,False
v2xt_0001,reliable,5,14,2,marked_gaussian_evidence,26,26,0.20511452436055388,0.020472751625394362,22.856985091336156,18,46,False
