sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,1,1,1,20.500852673649508,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,1,1,107,21.116165203291974,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,2,1,1,20.419571015971076,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,2,2,104,28.697752817673926,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,3,1,1,20.337744286124913,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,3,2,2,28.440046677477284,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,4,1,1,20.23292696470701,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,4,2,2,29.14309699542071,0,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,5,1,1,20.15183035803109,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,5,2,2,29.82206656866343,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,6,1,1,20.091563354262803,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,6,2,2,30.51436162556129,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,7,1,1,20.042950408791178,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,7,2,2,31.18490514719038,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,8,1,1,20.032362110285042,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,8,2,2,32.638181488933704,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,9,1,1,19.88839846415057,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,9,2,2,33.335803651623095,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,10,1,1,19.91893285867989,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,10,2,2,33.51615926295303,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,11,1,1,19.78737236704467,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,11,2,2,34.24659982434102,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,12,1,1,19.78223145372779,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,12,2,2,34.80507787303643,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,13,1,1,19.688719778552834,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,13,2,2,35.32396609401133,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,14,1,1,19.637944164770488,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,14,2,2,35.96872154077128,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,15,1,1,19.621360049519698,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,15,2,2,36.6131384789056,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,16,1,1,19.6204525017209,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,16,2,2,37.220899110660646,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,17,1,1,19.542873769175362,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,17,2,2,37.704131247068,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,18,1,1,19.522882787279272,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,18,2,2,38.0705673606286,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,19,1,1,19.505890068280962,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,19,2,2,39.99751349134156,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,20,1,1,19.52844481835811,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,20,2,2,39.16575979049848,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,21,1,1,19.52661211793767,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,21,2,2,39.663638742566214,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,22,1,1,19.523820603648723,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,23,1,1,19.517748550764505,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,24,1,1,19.48008483444581,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,25,1,1,19.506976917559236,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,26,1,1,19.550531267952977,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,27,1,1,19.5741974519469,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,28,1,1,19.624339870592845,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,28,1,107,20.55483595459923,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,29,1,1,19.702627415338377,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,30,1,1,19.697279714215025,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,31,1,1,19.74124968422404,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,32,1,1,19.785583686988925,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,32,1,107,20.91653170930251,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,33,1,1,19.852530071652957,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,34,1,1,19.924956807145325,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,35,1,1,19.97890458785739,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,36,1,1,20.060116306149585,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,37,1,1,20.15400103165498,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,38,1,1,20.23628282983239,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,39,1,1,20.334524282805834,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,39,1,2,39.76919756401992,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,40,1,1,20.42476057388692,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,40,1,2,39.42720245645137,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,41,1,1,20.53242921079827,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,41,1,2,39.090111840249584,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,42,1,1,20.644665565641677,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,42,1,2,38.76902374847895,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,43,1,1,20.763778580458595,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,43,1,2,38.467981267401505,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,44,1,1,20.86026905359609,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,44,1,2,38.164086521452404,1,1
